sep=;
12:00; Saturday; October 05; 2024
Study name:Side_Impact

Beam Name  ;Element  ;End  ;Axial (N/m^2)  ;Bending Dir1 (N/m^2)  ;Bending Dir2 (N/m^2)  ;Torsional (N/m^2)  ;Worst Case (N/m^2)
  ;107  ;1  ;4.9722e+06  ;2.18e+06  ;-1.5938e+07  ;1.3648e+07  ;2.1059e+07
  ;  ;2  ;4.9745e+06  ;-2.8479e+07  ;-2.3149e+07  ;1.3648e+07  ;4.1675e+07
  ;108  ;1  ;4.9745e+06  ;-2.8479e+07  ;-2.3149e+07  ;1.3648e+07  ;4.1675e+07
  ;  ;2  ;4.9768e+06  ;-5.9137e+07  ;-3.0377e+07  ;1.3648e+07  ;7.146e+07
Beam-12(Circuler tube 1X0.06(16_GAUGE)(56)[3])  ;  ;  ;  ;  ;  ;  ;
  ;109  ;1  ;-6.8942e+08  ;-1.018e+09  ;-4.9535e+06  ;-6.5453e+06  ;1.7074e+09
  ;  ;2  ;-6.8942e+08  ;-9.6897e+08  ;-4.2572e+06  ;-6.5453e+06  ;1.6584e+09
  ;110  ;1  ;-6.8942e+08  ;-9.6897e+08  ;-4.2571e+06  ;-6.5457e+06  ;1.6584e+09
  ;  ;2  ;-6.8942e+08  ;-9.1994e+08  ;-3.5792e+06  ;-6.5457e+06  ;1.6094e+09
  ;111  ;1  ;-6.8942e+08  ;-9.1994e+08  ;-3.5787e+06  ;-6.5452e+06  ;1.6094e+09
  ;  ;2  ;-6.8943e+08  ;-8.7092e+08  ;-2.9279e+06  ;-6.5452e+06  ;1.5603e+09
  ;112  ;1  ;-6.8943e+08  ;-8.7092e+08  ;-2.9237e+06  ;-6.5457e+06  ;1.5603e+09
  ;  ;2  ;-6.8943e+08  ;-8.2189e+08  ;-2.2901e+06  ;-6.5457e+06  ;1.5113e+09
  ;113  ;1  ;-6.8943e+08  ;-8.2189e+08  ;-2.2972e+06  ;-6.5458e+06  ;1.5113e+09
  ;  ;2  ;-6.8943e+08  ;-7.7287e+08  ;-1.6831e+06  ;-6.5458e+06  ;1.4623e+09
  ;114  ;1  ;-6.8943e+08  ;-7.7287e+08  ;-1.6804e+06  ;-6.5454e+06  ;1.4623e+09
  ;  ;2  ;-6.8943e+08  ;-7.2384e+08  ;-1.094e+06  ;-6.5454e+06  ;1.4133e+09
  ;115  ;1  ;-6.8943e+08  ;-7.2384e+08  ;-1.0915e+06  ;-6.5457e+06  ;1.4133e+09
  ;  ;2  ;-6.8943e+08  ;-6.7481e+08  ;-5.237e+05  ;-6.5457e+06  ;1.3642e+09
  ;116  ;1  ;-6.8943e+08  ;-6.7481e+08  ;-5.2558e+05  ;-6.5454e+06  ;1.3642e+09
  ;  ;2  ;-6.8943e+08  ;-6.2579e+08  ;16,807  ;-6.5454e+06  ;1.3152e+09
  ;117  ;1  ;-6.8943e+08  ;-6.2579e+08  ;16,822  ;-6.5456e+06  ;1.3152e+09
  ;  ;2  ;-6.8943e+08  ;-5.7676e+08  ;5.4079e+05  ;-6.5456e+06  ;1.2662e+09
  ;118  ;1  ;-6.8943e+08  ;-5.7676e+08  ;5.4097e+05  ;-6.5455e+06  ;1.2662e+09
  ;  ;2  ;-6.8943e+08  ;-5.2774e+08  ;1.0399e+06  ;-6.5455e+06  ;1.2172e+09
  ;119  ;1  ;-6.8943e+08  ;-5.2774e+08  ;1.0398e+06  ;-6.5456e+06  ;1.2172e+09
  ;  ;2  ;-6.8943e+08  ;-4.7871e+08  ;1.5198e+06  ;-6.5456e+06  ;1.1681e+09
  ;120  ;1  ;-6.8943e+08  ;-4.7871e+08  ;1.5198e+06  ;-6.5456e+06  ;1.1681e+09
  ;  ;2  ;-6.8943e+08  ;-4.2969e+08  ;1.9778e+06  ;-6.5456e+06  ;1.1191e+09
  ;121  ;1  ;-6.8943e+08  ;-4.2969e+08  ;1.9778e+06  ;-6.5455e+06  ;1.1191e+09
  ;  ;2  ;-6.8943e+08  ;-3.8067e+08  ;2.4102e+06  ;-6.5455e+06  ;1.0701e+09
  ;122  ;1  ;-6.8943e+08  ;-3.8067e+08  ;2.4102e+06  ;-6.5456e+06  ;1.0701e+09
  ;  ;2  ;-6.8943e+08  ;-3.3164e+08  ;2.8235e+06  ;-6.5456e+06  ;1.0211e+09
  ;123  ;1  ;-6.8943e+08  ;-3.3164e+08  ;2.8235e+06  ;-6.5456e+06  ;1.0211e+09
  ;  ;2  ;-6.8943e+08  ;-2.8262e+08  ;3.2155e+06  ;-6.5456e+06  ;9.7207e+08
  ;124  ;1  ;-6.8943e+08  ;-2.8262e+08  ;3.2149e+06  ;-6.5455e+06  ;9.7207e+08
  ;  ;2  ;-6.8943e+08  ;-2.336e+08  ;3.5807e+06  ;-6.5455e+06  ;9.2306e+08
  ;125  ;1  ;-6.8943e+08  ;-2.336e+08  ;3.582e+06  ;-6.5456e+06  ;9.2306e+08
  ;  ;2  ;-6.8943e+08  ;-1.8458e+08  ;3.9327e+06  ;-6.5456e+06  ;8.7405e+08
  ;126  ;1  ;-6.8943e+08  ;-1.8458e+08  ;3.9321e+06  ;-6.5455e+06  ;8.7405e+08
  ;  ;2  ;-6.8944e+08  ;-1.3555e+08  ;4.2546e+06  ;-6.5455e+06  ;8.2506e+08
  ;127  ;1  ;-6.8944e+08  ;-1.3555e+08  ;4.254e+06  ;-6.5456e+06  ;8.2506e+08
  ;  ;2  ;-6.8944e+08  ;-8.6528e+07  ;4.5576e+06  ;-6.5456e+06  ;7.7608e+08
  ;128  ;1  ;-6.8944e+08  ;-8.6528e+07  ;4.558e+06  ;-6.5456e+06  ;7.7608e+08
  ;  ;2  ;-6.8944e+08  ;-3.7506e+07  ;4.8393e+06  ;-6.5456e+06  ;7.2725e+08
  ;129  ;1  ;-6.8944e+08  ;-3.7506e+07  ;4.8393e+06  ;-6.5456e+06  ;7.2725e+08
  ;  ;2  ;-6.8944e+08  ;1.1515e+07  ;5.0955e+06  ;-6.5456e+06  ;7.0203e+08
  ;130  ;1  ;-6.8944e+08  ;1.1515e+07  ;5.0955e+06  ;-6.5455e+06  ;7.0203e+08
  ;  ;2  ;-6.8944e+08  ;6.0536e+07  ;5.3332e+06  ;-6.5455e+06  ;7.5021e+08
  ;131  ;1  ;-6.8944e+08  ;6.0536e+07  ;5.3332e+06  ;-6.5456e+06  ;7.5021e+08
  ;  ;2  ;-6.8944e+08  ;1.0956e+08  ;5.5487e+06  ;-6.5456e+06  ;7.9914e+08
Beam-13(Circuler tube 1X0.08(14_GAUGE)(2)[1])  ;  ;  ;  ;  ;  ;  ;
  ;132  ;1  ;2.7181e+08  ;-2.5151e+09  ;2.6748e+08  ;7.2518e+07  ;2.8011e+09
  ;  ;2  ;2.7181e+08  ;-2.0632e+09  ;2.2678e+08  ;7.2518e+07  ;2.3474e+09
  ;133  ;1  ;2.7181e+08  ;-2.0632e+09  ;2.2678e+08  ;7.2516e+07  ;2.3474e+09
  ;  ;2  ;2.7181e+08  ;-1.6112e+09  ;1.8608e+08  ;7.2516e+07  ;1.8938e+09
  ;134  ;1  ;2.7181e+08  ;-1.6112e+09  ;1.8608e+08  ;7.2518e+07  ;1.8938e+09
  ;  ;2  ;2.718e+08  ;-1.1593e+09  ;1.4538e+08  ;7.2518e+07  ;1.4402e+09
  ;135  ;1  ;2.718e+08  ;-1.1593e+09  ;1.4538e+08  ;7.2518e+07  ;1.4402e+09
  ;  ;2  ;2.718e+08  ;-7.0738e+08  ;1.0467e+08  ;7.2518e+07  ;9.8689e+08
  ;136  ;1  ;2.718e+08  ;-7.0738e+08  ;1.0467e+08  ;7.2518e+07  ;9.8689e+08
  ;  ;2  ;2.718e+08  ;-2.5546e+08  ;6.3962e+07  ;7.2518e+07  ;5.3515e+08
  ;137  ;1  ;2.718e+08  ;-2.5546e+08  ;6.3962e+07  ;7.2517e+07  ;5.3515e+08
  ;  ;2  ;2.718e+08  ;1.9646e+08  ;2.3247e+07  ;7.2517e+07  ;4.6962e+08
  ;138  ;1  ;2.718e+08  ;1.9646e+08  ;2.3247e+07  ;7.2517e+07  ;4.6962e+08
  ;  ;2  ;2.7179e+08  ;6.4838e+08  ;-1.7465e+07  ;7.2517e+07  ;9.204e+08
  ;139  ;1  ;2.7179e+08  ;6.4838e+08  ;-1.7464e+07  ;7.2518e+07  ;9.204e+08
  ;  ;2  ;2.7179e+08  ;1.1003e+09  ;-5.8184e+07  ;7.2518e+07  ;1.3736e+09
  ;140  ;1  ;2.7179e+08  ;1.1003e+09  ;-5.8187e+07  ;7.2518e+07  ;1.3736e+09
  ;  ;2  ;2.7179e+08  ;1.5522e+09  ;-9.8912e+07  ;7.2518e+07  ;1.8271e+09
  ;141  ;1  ;2.7179e+08  ;1.5522e+09  ;-9.8911e+07  ;7.2517e+07  ;1.8271e+09
  ;  ;2  ;2.7178e+08  ;2.0041e+09  ;-1.3964e+08  ;7.2517e+07  ;2.2808e+09
  ;142  ;1  ;2.7178e+08  ;2.0041e+09  ;-1.3964e+08  ;7.2517e+07  ;2.2808e+09
  ;  ;2  ;2.7178e+08  ;2.456e+09  ;-1.8036e+08  ;7.2517e+07  ;2.7344e+09
Beam-14(Circuler tube 1X0.06(16_GAUGE)(13)[4])  ;  ;  ;  ;  ;  ;  ;
  ;143  ;1  ;-5.5391e+08  ;2.0848e+07  ;1.7753e+07  ;1.8601e+07  ;5.813e+08
  ;  ;2  ;-5.5391e+08  ;-9.057e+07  ;1.6217e+06  ;1.8601e+07  ;6.445e+08
  ;144  ;1  ;-5.5391e+08  ;-9.057e+07  ;1.6218e+06  ;1.8601e+07  ;6.445e+08
  ;  ;2  ;-5.5391e+08  ;-2.0199e+08  ;-1.4531e+07  ;1.8601e+07  ;7.5642e+08
  ;145  ;1  ;-5.5391e+08  ;-2.0199e+08  ;-1.4531e+07  ;1.8601e+07  ;7.5642e+08
  ;  ;2  ;-5.5391e+08  ;-3.134e+08  ;-3.0707e+07  ;1.8601e+07  ;8.6882e+08
  ;146  ;1  ;-5.5391e+08  ;-3.134e+08  ;-3.0707e+07  ;1.8601e+07  ;8.6882e+08
  ;  ;2  ;-5.5391e+08  ;-4.2482e+08  ;-4.6903e+07  ;1.8601e+07  ;9.8132e+08
  ;147  ;1  ;-5.5391e+08  ;-4.2482e+08  ;-4.6904e+07  ;1.8601e+07  ;9.8132e+08
  ;  ;2  ;-5.5391e+08  ;-5.3624e+08  ;-6.3123e+07  ;1.8601e+07  ;1.0939e+09
Beam-15(Circuler tube 1X0.06(16_GAUGE)(56)[17])  ;  ;  ;  ;  ;  ;  ;
  ;148  ;1  ;-1.0581e+09  ;-9.1928e+08  ;2.8524e+08  ;-2.5403e+06  ;2.0206e+09
  ;  ;2  ;-1.0581e+09  ;-7.3478e+08  ;2.2819e+08  ;-2.5403e+06  ;1.8275e+09
  ;149  ;1  ;-1.0581e+09  ;-7.3478e+08  ;2.2819e+08  ;-2.5399e+06  ;1.8275e+09
  ;  ;2  ;-1.0581e+09  ;-5.5027e+08  ;1.711e+08  ;-2.5399e+06  ;1.6344e+09
  ;150  ;1  ;-1.0581e+09  ;-5.5027e+08  ;1.711e+08  ;-2.5402e+06  ;1.6344e+09
  ;  ;2  ;-1.0581e+09  ;-3.6577e+08  ;1.14e+08  ;-2.5402e+06  ;1.4413e+09
  ;151  ;1  ;-1.0581e+09  ;-3.6577e+08  ;1.14e+08  ;-2.54e+06  ;1.4413e+09
  ;  ;2  ;-1.0581e+09  ;-1.8127e+08  ;5.6864e+07  ;-2.54e+06  ;1.2481e+09
  ;152  ;1  ;-1.0581e+09  ;-1.8127e+08  ;5.6864e+07  ;-2.5401e+06  ;1.2481e+09
  ;  ;2  ;-1.0581e+09  ;3.2285e+06  ;-2.8641e+05  ;-2.5401e+06  ;1.0614e+09
Beam-16(Circuler tube 1X0.06(16_GAUGE)(13)[7])  ;  ;  ;  ;  ;  ;  ;
  ;153  ;1  ;-21.266  ;-0.045028  ;33,121  ;0.87204  ;33,142
  ;  ;2  ;-21.266  ;0.027421  ;-7,879.5  ;0.87204  ;7,900.7
  ;154  ;1  ;-21.266  ;0.019559  ;-7,879.5  ;0.87351  ;7,900.7
  ;  ;2  ;-21.266  ;0.036504  ;-26,852  ;0.87351  ;26,873
  ;155  ;1  ;-21.266  ;0.036504  ;-26,852  ;0.87351  ;26,873
  ;  ;2  ;-21.266  ;0.038796  ;-23,797  ;0.87351  ;23,818
  ;156  ;1  ;-21.266  ;0.038796  ;-23,797  ;0.87351  ;23,818
  ;  ;2  ;-21.266  ;0.026436  ;1,286.4  ;0.87351  ;1,307.7
  ;157  ;1  ;-21.266  ;0.025152  ;1,286.4  ;0.87327  ;1,307.7
  ;  ;2  ;-21.266  ;-0.04881  ;48,397  ;0.87327  ;48,418
Beam-17(Circuler tube 1X0.06(16_GAUGE)(13)[10])  ;  ;  ;  ;  ;  ;  ;
  ;158  ;1  ;9.3228e+07  ;2.7748e+07  ;2.68e+07  ;-3.4165e+07  ;1.318e+08
  ;  ;2  ;9.3227e+07  ;1.7813e+07  ;2.4851e+07  ;-3.4165e+07  ;1.238e+08
  ;159  ;1  ;9.3227e+07  ;1.7813e+07  ;2.4851e+07  ;-3.4165e+07  ;1.238e+08
  ;  ;2  ;9.3227e+07  ;7.8988e+06  ;2.2901e+07  ;-3.4165e+07  ;1.1745e+08
  ;160  ;1  ;9.3227e+07  ;7.8988e+06  ;2.2901e+07  ;-3.4165e+07  ;1.1745e+08
  ;  ;2  ;9.3227e+07  ;-1.9941e+06  ;2.0952e+07  ;-3.4165e+07  ;1.1427e+08
  ;161  ;1  ;9.3227e+07  ;-1.9941e+06  ;2.0952e+07  ;-3.4165e+07  ;1.1427e+08
  ;  ;2  ;9.3227e+07  ;-1.1866e+07  ;1.9002e+07  ;-3.4165e+07  ;1.1563e+08
  ;162  ;1  ;9.3227e+07  ;-1.1867e+07  ;1.9002e+07  ;-3.4165e+07  ;1.1563e+08
  ;  ;2  ;9.3227e+07  ;-2.1718e+07  ;1.7053e+07  ;-3.4165e+07  ;1.2084e+08
  ;163  ;1  ;9.3227e+07  ;-2.1718e+07  ;1.7053e+07  ;-3.4165e+07  ;1.2084e+08
  ;  ;2  ;9.3227e+07  ;-3.1549e+07  ;1.5103e+07  ;-3.4165e+07  ;1.282e+08
  ;164  ;1  ;9.3227e+07  ;-3.1549e+07  ;1.5103e+07  ;-3.4165e+07  ;1.282e+08
  ;  ;2  ;9.3227e+07  ;-4.1358e+07  ;1.3154e+07  ;-3.4165e+07  ;1.3663e+08
  ;165  ;1  ;9.3227e+07  ;-4.1358e+07  ;1.3154e+07  ;-3.4165e+07  ;1.3663e+08
  ;  ;2  ;9.3227e+07  ;-5.1148e+07  ;1.1204e+07  ;-3.4165e+07  ;1.4559e+08
  ;166  ;1  ;9.3227e+07  ;-5.1148e+07  ;1.1204e+07  ;-3.4165e+07  ;1.4559e+08
  ;  ;2  ;9.3227e+07  ;-6.0916e+07  ;9.2546e+06  ;-3.4165e+07  ;1.5484e+08
  ;167  ;1  ;9.3227e+07  ;-6.0916e+07  ;9.2545e+06  ;-3.4165e+07  ;1.5484e+08
  ;  ;2  ;9.3226e+07  ;-7.0663e+07  ;7.3051e+06  ;-3.4165e+07  ;1.6427e+08
Beam-18(Circuler tube 1X0.08(14_GAUGE)(3)[1])  ;  ;  ;  ;  ;  ;  ;
  ;168  ;1  ;-1.8016e+08  ;2.1212e+08  ;-1.1197e+08  ;-1.5631e+07  ;4.2002e+08
  ;  ;2  ;-1.8016e+08  ;2.5374e+08  ;-1.0947e+08  ;-1.5631e+07  ;4.565e+08
  ;169  ;1  ;-1.8016e+08  ;2.5373e+08  ;-1.0947e+08  ;-1.5631e+07  ;4.565e+08
  ;  ;2  ;-1.8016e+08  ;2.9538e+08  ;-1.0697e+08  ;-1.5631e+07  ;4.9431e+08
  ;170  ;1  ;-1.8016e+08  ;2.9538e+08  ;-1.0696e+08  ;-1.5631e+07  ;4.9431e+08
  ;  ;2  ;-1.8016e+08  ;3.3704e+08  ;-1.0446e+08  ;-1.5631e+07  ;5.3302e+08
  ;171  ;1  ;-1.8016e+08  ;3.3704e+08  ;-1.0446e+08  ;-1.5631e+07  ;5.3302e+08
  ;  ;2  ;-1.8016e+08  ;3.7873e+08  ;-1.0196e+08  ;-1.5631e+07  ;5.7238e+08
  ;172  ;1  ;-1.8016e+08  ;3.7873e+08  ;-1.0196e+08  ;-1.5631e+07  ;5.7238e+08
  ;  ;2  ;-1.8016e+08  ;4.2044e+08  ;-9.9461e+07  ;-1.5631e+07  ;6.1221e+08
  ;173  ;1  ;-1.8016e+08  ;4.2044e+08  ;-9.9461e+07  ;-1.5631e+07  ;6.1221e+08
  ;  ;2  ;-1.8016e+08  ;4.6217e+08  ;-9.696e+07  ;-1.5631e+07  ;6.524e+08
  ;174  ;1  ;-1.8016e+08  ;4.6217e+08  ;-9.696e+07  ;-1.5631e+07  ;6.524e+08
  ;  ;2  ;-1.8016e+08  ;5.0393e+08  ;-9.4459e+07  ;-1.5631e+07  ;6.9287e+08
  ;175  ;1  ;-1.8016e+08  ;5.0393e+08  ;-9.4459e+07  ;-1.5631e+07  ;6.9287e+08
  ;  ;2  ;-1.8016e+08  ;5.4571e+08  ;-9.1958e+07  ;-1.5631e+07  ;7.3357e+08
  ;176  ;1  ;-1.8016e+08  ;5.4571e+08  ;-9.196e+07  ;-1.5631e+07  ;7.3357e+08
  ;  ;2  ;-1.8016e+08  ;5.8751e+08  ;-8.9459e+07  ;-1.5631e+07  ;7.7444e+08
  ;177  ;1  ;-1.8016e+08  ;5.8751e+08  ;-8.9453e+07  ;-1.5631e+07  ;7.7444e+08
  ;  ;2  ;-1.8016e+08  ;6.2934e+08  ;-8.6952e+07  ;-1.5631e+07  ;8.1548e+08
  ;178  ;1  ;-1.8016e+08  ;6.2933e+08  ;-8.6961e+07  ;-1.5631e+07  ;8.1548e+08
  ;  ;2  ;-1.8016e+08  ;6.7118e+08  ;-8.446e+07  ;-1.5631e+07  ;8.5664e+08
  ;179  ;1  ;-1.8016e+08  ;6.7118e+08  ;-8.4454e+07  ;-1.5631e+07  ;8.5664e+08
  ;  ;2  ;-1.8016e+08  ;7.1305e+08  ;-8.1953e+07  ;-1.5631e+07  ;8.9791e+08
Beam-19(Circuler tube 1X0.08(14_GAUGE)(1)[1])  ;  ;  ;  ;  ;  ;  ;
  ;180  ;1  ;-4.2497e+07  ;-1.6582e+08  ;2.7846e+08  ;-1.1169e+08  ;3.6659e+08
  ;  ;2  ;-4.25e+07  ;-1.0624e+08  ;1.8087e+08  ;-1.1169e+08  ;2.5226e+08
  ;181  ;1  ;-4.25e+07  ;-1.0624e+08  ;1.8087e+08  ;-1.1169e+08  ;2.5226e+08
  ;  ;2  ;-4.2502e+07  ;-4.6657e+07  ;8.3282e+07  ;-1.1169e+08  ;1.3796e+08
  ;182  ;1  ;-4.2502e+07  ;-4.6657e+07  ;8.3282e+07  ;-1.1169e+08  ;1.3796e+08
  ;  ;2  ;-4.2505e+07  ;1.2924e+07  ;-1.431e+07  ;-1.1169e+08  ;6.1787e+07
  ;183  ;1  ;-4.2505e+07  ;1.2924e+07  ;-1.431e+07  ;-1.1169e+08  ;6.1787e+07
  ;  ;2  ;-4.2508e+07  ;7.2505e+07  ;-1.119e+08  ;-1.1169e+08  ;1.7585e+08
Beam-20(Circuler tube 1X0.08(14_GAUGE)(1)[4])  ;  ;  ;  ;  ;  ;  ;
  ;184  ;1  ;-1.0889e+07  ;1.4109e+08  ;3.9986e+08  ;1.9113e+07  ;4.3491e+08
  ;  ;2  ;-1.0889e+07  ;1.2248e+08  ;2.6172e+08  ;1.9113e+07  ;2.9985e+08
  ;185  ;1  ;-1.0889e+07  ;1.2248e+08  ;2.6172e+08  ;1.9113e+07  ;2.9985e+08
  ;  ;2  ;-1.0889e+07  ;1.039e+08  ;1.2358e+08  ;1.9113e+07  ;1.7234e+08
  ;186  ;1  ;-1.0889e+07  ;1.039e+08  ;1.2358e+08  ;1.9113e+07  ;1.7234e+08
  ;  ;2  ;-1.0889e+07  ;8.5341e+07  ;-1.4566e+07  ;1.9113e+07  ;9.7463e+07
  ;187  ;1  ;-1.0889e+07  ;8.5341e+07  ;-1.4566e+07  ;1.9113e+07  ;9.7463e+07
  ;  ;2  ;-1.0889e+07  ;6.681e+07  ;-1.5271e+08  ;1.9113e+07  ;1.7757e+08
  ;188  ;1  ;-1.0889e+07  ;6.681e+07  ;-1.5271e+08  ;1.9113e+07  ;1.7757e+08
  ;  ;2  ;-1.0889e+07  ;4.8305e+07  ;-2.9085e+08  ;1.9113e+07  ;3.0572e+08
  ;189  ;1  ;-1.0889e+07  ;4.8305e+07  ;-2.9085e+08  ;1.9113e+07  ;3.0572e+08
  ;  ;2  ;-1.0889e+07  ;2.9827e+07  ;-4.2899e+08  ;1.9113e+07  ;4.4092e+08
  ;190  ;1  ;-1.0889e+07  ;2.9827e+07  ;-4.2899e+08  ;1.9113e+07  ;4.4092e+08
  ;  ;2  ;-1.0889e+07  ;1.1374e+07  ;-5.6714e+08  ;1.9113e+07  ;5.7814e+08
Beam-21(Circuler tube 1X0.06(16_GAUGE)(56)[8])  ;  ;  ;  ;  ;  ;  ;
  ;191  ;1  ;8.0207e+06  ;2.9513e+09  ;8.0007e+07  ;9.085e+07  ;2.9604e+09
  ;  ;2  ;8.0193e+06  ;2.5158e+09  ;7.1556e+07  ;9.085e+07  ;2.5248e+09
  ;192  ;1  ;8.0194e+06  ;2.5158e+09  ;7.1578e+07  ;9.0847e+07  ;2.5248e+09
  ;  ;2  ;8.018e+06  ;2.0803e+09  ;6.3103e+07  ;9.0847e+07  ;2.0893e+09
  ;193  ;1  ;8.0179e+06  ;2.0803e+09  ;6.3096e+07  ;9.0849e+07  ;2.0893e+09
  ;  ;2  ;8.0165e+06  ;1.6448e+09  ;5.4603e+07  ;9.0849e+07  ;1.6537e+09
  ;194  ;1  ;8.0165e+06  ;1.6448e+09  ;5.4603e+07  ;9.0849e+07  ;1.6537e+09
  ;  ;2  ;8.0151e+06  ;1.2093e+09  ;4.6089e+07  ;9.0849e+07  ;1.2182e+09
  ;195  ;1  ;8.0151e+06  ;1.2093e+09  ;4.6089e+07  ;9.0848e+07  ;1.2182e+09
  ;  ;2  ;8.0137e+06  ;7.7378e+08  ;3.7555e+07  ;9.0848e+07  ;7.827e+08
  ;196  ;1  ;8.0136e+06  ;7.7378e+08  ;3.7554e+07  ;9.0848e+07  ;7.827e+08
  ;  ;2  ;8.0122e+06  ;3.3828e+08  ;2.9001e+07  ;9.0848e+07  ;3.4753e+08
  ;197  ;1  ;8.0123e+06  ;3.3828e+08  ;2.9001e+07  ;9.0848e+07  ;3.4753e+08
  ;  ;2  ;8.0109e+06  ;-9.7224e+07  ;2.0427e+07  ;9.0848e+07  ;1.0736e+08
  ;198  ;1  ;8.0109e+06  ;-9.7224e+07  ;2.0427e+07  ;9.0848e+07  ;1.0736e+08
  ;  ;2  ;8.0095e+06  ;-5.3273e+08  ;1.1833e+07  ;9.0848e+07  ;5.4087e+08
  ;199  ;1  ;8.0095e+06  ;-5.3273e+08  ;1.1833e+07  ;9.0849e+07  ;5.4087e+08
  ;  ;2  ;8.008e+06  ;-9.6823e+08  ;3.2185e+06  ;9.0849e+07  ;9.7624e+08
  ;200  ;1  ;8.008e+06  ;-9.6823e+08  ;3.2185e+06  ;9.0848e+07  ;9.7624e+08
  ;  ;2  ;8.0066e+06  ;-1.4037e+09  ;-5.4162e+06  ;9.0848e+07  ;1.4117e+09
  ;201  ;1  ;8.0066e+06  ;-1.4037e+09  ;-5.4162e+06  ;9.0848e+07  ;1.4117e+09
  ;  ;2  ;8.0052e+06  ;-1.8392e+09  ;-1.4071e+07  ;9.0848e+07  ;1.8473e+09
  ;202  ;1  ;8.0052e+06  ;-1.8392e+09  ;-1.4078e+07  ;9.0848e+07  ;1.8473e+09
  ;  ;2  ;8.0038e+06  ;-2.2747e+09  ;-2.2754e+07  ;9.0848e+07  ;2.2828e+09
  ;203  ;1  ;8.0038e+06  ;-2.2747e+09  ;-2.2734e+07  ;9.0849e+07  ;2.2828e+09
  ;  ;2  ;8.0024e+06  ;-2.7102e+09  ;-3.1427e+07  ;9.0849e+07  ;2.7184e+09
Beam-22(Circuler tube 1X0.06(16_GAUGE)(2)[3])  ;  ;  ;  ;  ;  ;  ;
  ;204  ;1  ;-9.689e+06  ;-5.7609e+08  ;-1.1628e+09  ;-1.9178e+07  ;1.3073e+09
  ;  ;2  ;-9.6891e+06  ;-6.3137e+08  ;-1.3053e+09  ;-1.9178e+07  ;1.4597e+09
  ;205  ;1  ;-1.5417e+06  ;-6.2844e+08  ;-1.3053e+09  ;3.5931e+07  ;1.4503e+09
  ;  ;2  ;-1.5421e+06  ;-6.8371e+08  ;-1.4509e+09  ;3.5931e+07  ;1.6055e+09
  ;206  ;1  ;6.652e+06  ;-6.6085e+08  ;-1.4509e+09  ;9.4748e+07  ;1.601e+09
  ;  ;2  ;6.6514e+06  ;-7.1612e+08  ;-1.5951e+09  ;9.4748e+07  ;1.7551e+09
  ;207  ;1  ;1.4643e+07  ;-6.7234e+08  ;-1.5951e+09  ;1.5549e+08  ;1.7457e+09
  ;  ;2  ;1.4642e+07  ;-7.2762e+08  ;-1.7335e+09  ;1.5549e+08  ;1.8947e+09
  ;208  ;1  ;2.2189e+07  ;-6.6256e+08  ;-1.7335e+09  ;2.163e+08  ;1.878e+09
  ;  ;2  ;2.2188e+07  ;-7.1784e+08  ;-1.862e+09  ;2.163e+08  ;2.0178e+09
  ;209  ;1  ;2.906e+07  ;-6.3182e+08  ;-1.862e+09  ;2.7534e+08  ;1.9953e+09
  ;  ;2  ;2.9059e+07  ;-6.8709e+08  ;-1.9766e+09  ;2.7534e+08  ;2.1217e+09
  ;210  ;1  ;3.5049e+07  ;-5.8103e+08  ;-1.9766e+09  ;3.3081e+08  ;2.0953e+09
  ;  ;2  ;3.5047e+07  ;-6.3631e+08  ;-2.0738e+09  ;3.3081e+08  ;2.2043e+09
  ;211  ;1  ;3.9971e+07  ;-5.1175e+08  ;-2.0738e+09  ;3.8103e+08  ;2.176e+09
  ;  ;2  ;3.997e+07  ;-5.6703e+08  ;-2.1507e+09  ;3.8103e+08  ;2.2642e+09
  ;212  ;1  ;4.368e+07  ;-4.2608e+08  ;-2.1507e+09  ;4.2448e+08  ;2.2362e+09
  ;  ;2  ;4.3678e+07  ;-4.8136e+08  ;-2.205e+09  ;4.2448e+08  ;2.3006e+09
Beam-23(Circuler tube 1X0.08(14_GAUGE)(2)[4])  ;  ;  ;  ;  ;  ;  ;
  ;213  ;1  ;4.7667e+06  ;-4.5143e+07  ;3.065e+07  ;1.2417e+08  ;5.9331e+07
  ;  ;2  ;4.7678e+06  ;-7.7161e+06  ;1.719e+07  ;1.2417e+08  ;2.361e+07
  ;214  ;1  ;3.9971e+06  ;-4.8018e+07  ;2.0072e+07  ;1.2178e+08  ;5.6041e+07
  ;  ;2  ;3.9981e+06  ;-1.1017e+07  ;3.8367e+06  ;1.2178e+08  ;1.5664e+07
  ;215  ;1  ;3.1181e+06  ;-5.0728e+07  ;7.482e+06  ;1.1919e+08  ;5.4395e+07
  ;  ;2  ;3.119e+06  ;-1.4187e+07  ;-1.1075e+07  ;1.1919e+08  ;2.1117e+07
  ;216  ;1  ;2.1541e+06  ;-5.3221e+07  ;-6.8144e+06  ;1.1648e+08  ;5.581e+07
  ;  ;2  ;2.1549e+06  ;-1.7122e+07  ;-2.7179e+07  ;1.1648e+08  ;3.4277e+07
  ;217  ;1  ;1.1308e+06  ;-5.5391e+07  ;-2.2479e+07  ;1.1372e+08  ;6.0909e+07
  ;  ;2  ;1.1315e+06  ;-1.9668e+07  ;-4.4093e+07  ;1.1372e+08  ;4.9412e+07
