sep=;
12:00; Saturday; October 05; 2024
Study name:Side_Impact

Beam Name  ;Element  ;End  ;Axial (N/m^2)  ;Bending Dir1 (N/m^2)  ;Bending Dir2 (N/m^2)  ;Torsional (N/m^2)  ;Worst Case (N/m^2)
  ;26  ;1  ;-2.1969e+08  ;6.9215e+08  ;5.2554e+08  ;-2.1112e+07  ;1.0887e+09
  ;  ;2  ;-2.1969e+08  ;8.7541e+08  ;5.6785e+08  ;-2.1112e+07  ;1.2631e+09
  ;27  ;1  ;-2.1969e+08  ;8.754e+08  ;5.6786e+08  ;-2.1113e+07  ;1.2631e+09
  ;  ;2  ;-2.1969e+08  ;1.0587e+09  ;6.1014e+08  ;-2.1113e+07  ;1.4416e+09
Beam-4(Circuler tube 1X0.08(14_GAUGE)(1)[5])  ;  ;  ;  ;  ;  ;  ;
  ;28  ;1  ;-1.1053e+07  ;-4.0167e+08  ;-1.4109e+08  ;1.6143e+06  ;4.3678e+08
  ;  ;2  ;-1.1053e+07  ;-4.5786e+08  ;-1.4559e+08  ;1.6143e+06  ;4.915e+08
  ;29  ;1  ;-1.1128e+07  ;-4.5146e+08  ;-1.4559e+08  ;-3.8162e+07  ;4.8549e+08
  ;  ;2  ;-1.1129e+07  ;-5.0765e+08  ;-1.4386e+08  ;-3.8162e+07  ;5.3877e+08
  ;30  ;1  ;-1.0866e+07  ;-4.8668e+08  ;-1.4386e+08  ;-8.1659e+07  ;5.1837e+08
  ;  ;2  ;-1.0867e+07  ;-5.4287e+08  ;-1.3596e+08  ;-8.1659e+07  ;5.705e+08
  ;31  ;1  ;-1.0275e+07  ;-5.0626e+08  ;-1.3596e+08  ;-1.2755e+08  ;5.3447e+08
  ;  ;2  ;-1.0276e+07  ;-5.6245e+08  ;-1.2212e+08  ;-1.2755e+08  ;5.8583e+08
  ;32  ;1  ;-9.3712e+06  ;-5.096e+08  ;-1.2212e+08  ;-1.7445e+08  ;5.334e+08
  ;  ;2  ;-9.3721e+06  ;-5.6579e+08  ;-1.0277e+08  ;-1.7445e+08  ;5.8442e+08
  ;33  ;1  ;-8.1832e+06  ;-4.9661e+08  ;-1.0277e+08  ;-2.2092e+08  ;5.1531e+08
  ;  ;2  ;-8.1843e+06  ;-5.528e+08  ;-7.8489e+07  ;-2.2092e+08  ;5.6652e+08
  ;34  ;1  ;-7.4016e+06  ;-5.067e+08  ;-7.8489e+07  ;-2.4701e+08  ;5.2015e+08
  ;  ;2  ;-7.4018e+06  ;-5.1389e+08  ;-7.5065e+07  ;-2.4701e+08  ;5.2675e+08
  ;35  ;1  ;-2.5946e+08  ;-1.5485e+08  ;-3.927e+07  ;9.2187e+07  ;4.1921e+08
  ;  ;2  ;-2.5946e+08  ;-1.1901e+08  ;-2.5257e+08  ;9.2187e+07  ;5.3867e+08
  ;36  ;1  ;-2.6839e+08  ;-1.4742e+08  ;-2.5257e+08  ;8.1281e+07  ;5.6083e+08
  ;  ;2  ;-2.6839e+08  ;-1.0634e+08  ;-3.5831e+08  ;8.1281e+07  ;6.4215e+08
  ;37  ;1  ;-2.7003e+08  ;-1.3295e+08  ;-3.5831e+08  ;7.0813e+07  ;6.5221e+08
  ;  ;2  ;-2.7003e+08  ;-9.1877e+07  ;-3.1279e+08  ;7.0813e+07  ;5.9604e+08
Beam-5(Circuler tube 1X0.06(16_GAUGE)(2)[4])  ;  ;  ;  ;  ;  ;  ;
  ;38  ;1  ;-1.3668e+07  ;3.8078e+08  ;1.237e+09  ;-4.4208e+07  ;1.3079e+09
  ;  ;2  ;-1.3668e+07  ;2.4488e+08  ;8.9408e+08  ;-4.4208e+07  ;9.4067e+08
  ;39  ;1  ;-1.3668e+07  ;2.449e+08  ;8.9407e+08  ;-4.4211e+07  ;9.4067e+08
  ;  ;2  ;-1.3668e+07  ;1.0899e+08  ;5.512e+08  ;-4.4211e+07  ;5.7554e+08
  ;40  ;1  ;-1.3668e+07  ;1.0898e+08  ;5.5121e+08  ;-4.4209e+07  ;5.7554e+08
  ;  ;2  ;-1.3668e+07  ;-2.6926e+07  ;2.0836e+08  ;-4.4209e+07  ;2.2376e+08
  ;41  ;1  ;-1.3668e+07  ;-2.6925e+07  ;2.0836e+08  ;-4.421e+07  ;2.2376e+08
  ;  ;2  ;-1.3668e+07  ;-1.6283e+08  ;-1.3446e+08  ;-4.421e+07  ;2.2484e+08
  ;42  ;1  ;-1.3668e+07  ;-1.6283e+08  ;-1.3446e+08  ;-4.4209e+07  ;2.2484e+08
  ;  ;2  ;-1.3668e+07  ;-2.9874e+08  ;-4.7725e+08  ;-4.4209e+07  ;5.7671e+08
  ;43  ;1  ;-1.3668e+07  ;-2.9874e+08  ;-4.7725e+08  ;-4.4211e+07  ;5.7671e+08
  ;  ;2  ;-1.3668e+07  ;-4.3465e+08  ;-8.2002e+08  ;-4.4211e+07  ;9.4176e+08
  ;44  ;1  ;-1.3668e+07  ;-4.3464e+08  ;-8.2003e+08  ;-4.4208e+07  ;9.4176e+08
  ;  ;2  ;-1.3668e+07  ;-5.7054e+08  ;-1.1628e+09  ;-4.4208e+07  ;1.3089e+09
Beam-6(Circuler tube 1X0.08(14_GAUGE)(2)[5])  ;  ;  ;  ;  ;  ;  ;
  ;45  ;1  ;1.0727e+06  ;1.448e+08  ;-2.2168e+09  ;2.472e+07  ;2.2226e+09
  ;  ;2  ;1.0756e+06  ;9.6468e+07  ;-1.4059e+09  ;2.472e+07  ;1.4102e+09
  ;46  ;1  ;1.0756e+06  ;9.6468e+07  ;-1.4059e+09  ;2.472e+07  ;1.4102e+09
  ;  ;2  ;1.0786e+06  ;4.814e+07  ;-5.9495e+08  ;2.472e+07  ;5.9798e+08
  ;47  ;1  ;1.0785e+06  ;4.8111e+07  ;-5.9496e+08  ;2.4721e+07  ;5.9798e+08
  ;  ;2  ;1.0814e+06  ;-1.7512e+05  ;2.1596e+08  ;2.4721e+07  ;2.1704e+08
  ;48  ;1  ;1.0815e+06  ;-1.8502e+05  ;2.1596e+08  ;2.4721e+07  ;2.1704e+08
  ;  ;2  ;1.0845e+06  ;-4.8505e+07  ;1.0269e+09  ;2.4721e+07  ;1.0291e+09
  ;49  ;1  ;1.0845e+06  ;-4.8462e+07  ;1.0269e+09  ;2.4719e+07  ;1.0291e+09
  ;  ;2  ;1.0874e+06  ;-9.6745e+07  ;1.8378e+09  ;2.4719e+07  ;1.8414e+09
