sep=;
12:00; Saturday; October 05; 2024
Study name:Side_Impact

Beam Name  ;Element  ;End  ;Axial (N)  ;Shear1 (N)  ;Shear2 (N)  ;Moment 1 (N.m)  ;Moment 2 (N.m)  ;Torque (N.m)
  ;30  ;1  ;1,597.7  ;-361.9  ;2,572.8  ;388.45  ;-114.83  ;130.36
  ;  ;2  ;-1,597.7  ;361.72  ;-2,572.8  ;-433.3  ;108.52  ;-130.36
  ;31  ;1  ;1,510.7  ;-633.67  ;2,572.8  ;404.08  ;-108.52  ;203.62
  ;  ;2  ;-1,510.8  ;633.51  ;-2,572.8  ;-448.93  ;97.475  ;-203.62
  ;32  ;1  ;1,377.8  ;-886.23  ;2,572.8  ;406.75  ;-97.475  ;278.48
  ;  ;2  ;-1,377.9  ;886.09  ;-2,572.8  ;-451.6  ;82.028  ;-278.48
  ;33  ;1  ;1,203.1  ;-1,111.9  ;2,572.8  ;396.38  ;-82.028  ;352.67
  ;  ;2  ;-1,203.3  ;1,111.8  ;-2,572.8  ;-441.22  ;62.648  ;-352.67
  ;34  ;1  ;1,088.2  ;-1,224.7  ;2,572.8  ;404.43  ;-62.648  ;394.32
  ;  ;2  ;-1,088.3  ;1,224.6  ;-2,572.8  ;-410.17  ;59.915  ;-394.32
  ;35  ;1  ;38,147  ;11,195  ;-1,880.9  ;123.6  ;-31.344  ;-147.16
  ;  ;2  ;-38,148  ;-11,195  ;1,880.9  ;-94.993  ;201.59  ;147.16
  ;36  ;1  ;39,461  ;4,841.7  ;-1,880.9  ;117.66  ;-201.59  ;-129.75
  ;  ;2  ;-39,461  ;-4,841.7  ;1,880.9  ;-84.878  ;285.99  ;129.75
  ;37  ;1  ;39,702  ;-2,084.1  ;-1,880.9  ;106.12  ;-285.99  ;-113.04
  ;  ;2  ;-39,702  ;2,084.1  ;1,880.9  ;-73.333  ;249.66  ;113.04
Beam-5(Circuler tube 1X0.06(16_GAUGE)(2)[4])  ;  ;  ;  ;  ;  ;  ;  ;
  ;38  ;1  ;1,562.4  ;5,152.8  ;2,042.2  ;-245.23  ;796.62  ;56.941
  ;  ;2  ;-1,562.4  ;-5,152.5  ;-2,042.2  ;157.7  ;-575.79  ;-56.941
  ;39  ;1  ;1,562.4  ;5,152.4  ;2,042.3  ;-157.72  ;575.79  ;56.944
  ;  ;2  ;-1,562.4  ;-5,152  ;-2,042.3  ;70.189  ;-354.98  ;-56.944
  ;40  ;1  ;1,562.4  ;5,152.1  ;2,042.2  ;-70.184  ;354.98  ;56.942
  ;  ;2  ;-1,562.4  ;-5,151.7  ;-2,042.2  ;-17.34  ;-134.19  ;-56.942
  ;41  ;1  ;1,562.4  ;5,151.7  ;2,042.2  ;17.34  ;134.19  ;56.943
  ;  ;2  ;-1,562.4  ;-5,151.3  ;-2,042.2  ;-104.86  ;86.593  ;-56.943
  ;42  ;1  ;1,562.4  ;5,151.3  ;2,042.2  ;104.86  ;-86.593  ;56.942
  ;  ;2  ;-1,562.4  ;-5,150.9  ;-2,042.2  ;-192.39  ;307.36  ;-56.942
  ;43  ;1  ;1,562.4  ;5,150.9  ;2,042.3  ;192.39  ;-307.35  ;56.944
  ;  ;2  ;-1,562.4  ;-5,150.5  ;-2,042.3  ;-279.92  ;528.1  ;-56.944
  ;44  ;1  ;1,562.4  ;5,150.6  ;2,042.2  ;279.91  ;-528.1  ;56.941
  ;  ;2  ;-1,562.4  ;-5,150.2  ;-2,042.2  ;-367.43  ;748.84  ;-56.941
Beam-6(Circuler tube 1X0.08(14_GAUGE)(2)[5])  ;  ;  ;  ;  ;  ;  ;  ;
  ;45  ;1  ;-157.71  ;-16,229  ;967.32  ;-115.57  ;-1,769.3  ;-39.461
  ;  ;2  ;158.15  ;16,229  ;-967.26  ;76.998  ;1,122.1  ;39.461
  ;46  ;1  ;-158.15  ;-16,229  ;967.26  ;-76.998  ;-1,122.1  ;-39.461
  ;  ;2  ;158.58  ;16,229  ;-967.2  ;38.424  ;474.87  ;39.461
  ;47  ;1  ;-158.57  ;-16,229  ;966.42  ;-38.401  ;-474.88  ;-39.462
  ;  ;2  ;159  ;16,229  ;-966.36  ;-0.13978  ;-172.37  ;39.462
  ;48  ;1  ;-159.01  ;-16,229  ;967.1  ;0.14767  ;172.37  ;-39.463
  ;  ;2  ;159.45  ;16,230  ;-967.05  ;-38.715  ;-819.62  ;39.463
  ;49  ;1  ;-159.45  ;-16,230  ;966.36  ;38.681  ;819.62  ;-39.46
  ;  ;2  ;159.88  ;16,230  ;-966.3  ;-77.219  ;-1,466.9  ;39.46
  ;50  ;1  ;-159.86  ;-16,230  ;966.98  ;77.28  ;1,466.9  ;-39.465
  ;  ;2  ;160.3  ;16,230  ;-966.92  ;-115.84  ;-2,114.1  ;39.465
  ;51  ;1  ;-7,451.9  ;9,206.3  ;-526.52  ;65.148  ;1,543.3  ;-26.95
  ;  ;2  ;7,452.3  ;-9,206.2  ;526.57  ;-45.401  ;-1,198  ;26.95
  ;52  ;1  ;-7,452.3  ;9,206.2  ;-526.57  ;45.401  ;1,198  ;-26.95
  ;  ;2  ;7,452.7  ;-9,206.1  ;526.63  ;-25.653  ;-852.79  ;26.95
  ;53  ;1  ;-7,452.7  ;9,206  ;-526.63  ;25.653  ;852.79  ;-26.95
  ;  ;2  ;7,453.1  ;-9,205.9  ;526.68  ;-5.9024  ;-507.55  ;26.95
  ;54  ;1  ;-7,453.1  ;9,206  ;-526.37  ;5.8862  ;507.55  ;-26.949
  ;  ;2  ;7,453.5  ;-9,205.9  ;526.42  ;13.854  ;-162.31  ;26.949
  ;55  ;1  ;-7,453.5  ;9,205.8  ;-526.73  ;-13.849  ;162.32  ;-26.949
  ;  ;2  ;7,453.9  ;-9,205.7  ;526.79  ;33.604  ;182.92  ;26.949
  ;56  ;1  ;-5,502.7  ;-299.55  ;-694.66  ;46.441  ;-149.09  ;31.276
  ;  ;2  ;5,503.2  ;299.67  ;694.72  ;-16.501  ;136.18  ;-31.276
  ;57  ;1  ;-5,503.2  ;-299.67  ;-694.72  ;16.501  ;-136.18  ;31.276
  ;  ;2  ;5,503.6  ;299.79  ;694.78  ;13.442  ;123.26  ;-31.276
  ;58  ;1  ;-5,503.6  ;-299.79  ;-694.78  ;-13.442  ;-123.26  ;31.276
  ;  ;2  ;5,504.1  ;299.91  ;694.85  ;43.387  ;110.34  ;-31.276
  ;59  ;1  ;-5,504.1  ;-299.9  ;-694.84  ;-43.385  ;-110.34  ;31.276
  ;  ;2  ;5,504.6  ;300.02  ;694.9  ;73.333  ;97.413  ;-31.276
  ;60  ;1  ;-5,504.6  ;-300.03  ;-694.91  ;-73.334  ;-97.412  ;31.276
  ;  ;2  ;5,505  ;300.15  ;694.98  ;103.29  ;84.478  ;-31.276
  ;61  ;1  ;-5,505  ;-300.15  ;-694.98  ;-103.29  ;-84.478  ;31.276
  ;  ;2  ;5,505.5  ;300.27  ;695.04  ;133.24  ;71.54  ;-31.276
  ;62  ;1  ;-5,505.5  ;-300.27  ;-695.04  ;-133.24  ;-71.54  ;31.276
  ;  ;2  ;5,506  ;300.39  ;695.1  ;163.2  ;58.596  ;-31.276
  ;63  ;1  ;-5,506  ;-300.4  ;-695.1  ;-163.2  ;-58.596  ;31.276
  ;  ;2  ;5,506.4  ;300.52  ;695.17  ;193.15  ;45.647  ;-31.276
  ;64  ;1  ;935.13  ;-72.937  ;2,044.9  ;-199.9  ;122.15  ;-158.96
  ;  ;2  ;-934.62  ;73.07  ;-2,044.8  ;102.76  ;-125.61  ;158.96
  ;65  ;1  ;934.62  ;-73.07  ;2,044.8  ;-102.76  ;125.61  ;-158.96
  ;  ;2  ;-934.1  ;73.203  ;-2,044.7  ;5.6333  ;-129.09  ;158.96
Beam-7(Circuler tube 1X0.06(16_GAUGE)(56)[9])  ;  ;  ;  ;  ;  ;  ;  ;
  ;66  ;1  ;-1.7928e+05  ;-1,390  ;-4,844.9  ;1,084.4  ;-311.36  ;3.6912
  ;  ;2  ;1.7928e+05  ;1,389.7  ;4,844.9  ;-867.05  ;249  ;-3.6912
  ;67  ;1  ;-1.7928e+05  ;-1,389.9  ;-4,844.9  ;867.05  ;-249  ;3.6902
  ;  ;2  ;1.7928e+05  ;1,389.5  ;4,844.9  ;-649.66  ;186.65  ;-3.6902
  ;68  ;1  ;-1.7928e+05  ;-1,389.3  ;-4,844.9  ;649.66  ;-186.65  ;3.691
  ;  ;2  ;1.7928e+05  ;1,388.9  ;4,844.9  ;-432.28  ;124.32  ;-3.691
  ;69  ;1  ;-1.7928e+05  ;-1,389.2  ;-4,844.9  ;432.28  ;-124.32  ;3.6905
  ;  ;2  ;1.7928e+05  ;1,388.8  ;4,844.9  ;-214.9  ;61.998  ;-3.6905
  ;70  ;1  ;-1.7928e+05  ;-1,388.6  ;-4,844.9  ;214.9  ;-61.998  ;3.6907
