sep=;
12:00; Saturday; October 05; 2024
Study name:Side_Impact

Beam Name  ;Element  ;End  ;Axial (N)  ;Shear1 (N)  ;Shear2 (N)  ;Moment 1 (N.m)  ;Moment 2 (N.m)  ;Torque (N.m)
  ;  ;2  ;-78,812  ;3.8924  ;778.35  ;7.4157  ;-3.2815  ;-8.4308
  ;130  ;1  ;78,812  ;-3.949  ;-778.35  ;-7.4157  ;3.2815  ;8.4308
  ;  ;2  ;-78,812  ;3.5999  ;778.34  ;38.986  ;-3.4346  ;-8.4308
  ;131  ;1  ;78,812  ;-3.597  ;-778.34  ;-38.986  ;3.4346  ;8.4308
  ;  ;2  ;-78,812  ;3.2479  ;778.34  ;70.556  ;-3.5734  ;-8.4308
Beam-13(Circuler tube 1X0.08(14_GAUGE)(2)[1])  ;  ;  ;  ;  ;  ;  ;  ;
  ;132  ;1  ;-39,964  ;807.64  ;-8,969.3  ;2,007.5  ;213.49  ;-115.76
  ;  ;2  ;39,963  ;-807.7  ;8,969.3  ;-1,646.8  ;-181.01  ;115.76
  ;133  ;1  ;-39,963  ;807.77  ;-8,969.3  ;1,646.8  ;181.01  ;-115.76
  ;  ;2  ;39,963  ;-807.83  ;8,969.2  ;-1,286  ;-148.52  ;115.76
  ;134  ;1  ;-39,963  ;807.77  ;-8,969.2  ;1,286  ;148.52  ;-115.76
  ;  ;2  ;39,962  ;-807.83  ;8,969.2  ;-925.32  ;-116.03  ;115.76
  ;135  ;1  ;-39,962  ;807.83  ;-8,969.2  ;925.32  ;116.03  ;-115.76
  ;  ;2  ;39,962  ;-807.9  ;8,969.1  ;-564.61  ;-83.545  ;115.76
  ;136  ;1  ;-39,962  ;807.89  ;-8,969.1  ;564.61  ;83.544  ;-115.76
  ;  ;2  ;39,961  ;-807.95  ;8,969.1  ;-203.9  ;-51.052  ;115.76
  ;137  ;1  ;-39,961  ;808.01  ;-8,969.1  ;203.9  ;51.052  ;-115.76
  ;  ;2  ;39,961  ;-808.08  ;8,969  ;156.81  ;-18.555  ;115.76
  ;138  ;1  ;-39,961  ;807.96  ;-8,969  ;-156.81  ;18.555  ;-115.76
  ;  ;2  ;39,961  ;-808.03  ;8,969  ;517.51  ;13.94  ;115.76
  ;139  ;1  ;-39,961  ;808.13  ;-8,969  ;-517.51  ;-13.939  ;-115.76
  ;  ;2  ;39,960  ;-808.19  ;8,968.9  ;878.21  ;46.441  ;115.76
  ;140  ;1  ;-39,960  ;808.21  ;-8,968.9  ;-878.21  ;-46.443  ;-115.76
  ;  ;2  ;39,960  ;-808.28  ;8,968.9  ;1,238.9  ;78.948  ;115.76
  ;141  ;1  ;-39,960  ;808.22  ;-8,968.9  ;-1,238.9  ;-78.948  ;-115.76
  ;  ;2  ;39,959  ;-808.28  ;8,968.8  ;1,599.6  ;111.45  ;115.76
  ;142  ;1  ;-39,959  ;808.28  ;-8,968.8  ;-1,599.6  ;-111.45  ;-115.76
  ;  ;2  ;39,959  ;-808.34  ;8,968.8  ;1,960.3  ;143.96  ;115.76
Beam-14(Circuler tube 1X0.06(16_GAUGE)(13)[4])  ;  ;  ;  ;  ;  ;  ;  ;
  ;143  ;1  ;63,320  ;259.68  ;1,794.8  ;-13.426  ;11.433  ;-23.959
  ;  ;2  ;-63,320  ;-260.03  ;-1,794.8  ;-58.328  ;-1.0444  ;23.959
  ;144  ;1  ;63,320  ;260.03  ;1,794.8  ;58.328  ;1.0444  ;-23.959
  ;  ;2  ;-63,320  ;-260.38  ;-1,794.8  ;-130.08  ;9.3584  ;23.959
  ;145  ;1  ;63,320  ;260.38  ;1,794.8  ;130.08  ;-9.3584  ;-23.959
  ;  ;2  ;-63,320  ;-260.73  ;-1,794.8  ;-201.84  ;19.775  ;23.959
  ;146  ;1  ;63,320  ;260.73  ;1,794.8  ;201.84  ;-19.775  ;-23.959
  ;  ;2  ;-63,320  ;-261.08  ;-1,794.8  ;-273.59  ;30.206  ;23.959
  ;147  ;1  ;63,320  ;261.09  ;1,794.7  ;273.59  ;-30.206  ;-23.959
  ;  ;2  ;-63,320  ;-261.44  ;-1,794.7  ;-345.34  ;40.652  ;23.959
Beam-15(Circuler tube 1X0.06(16_GAUGE)(56)[17])  ;  ;  ;  ;  ;  ;  ;  ;
  ;148  ;1  ;1.2096e+05  ;818.71  ;-2,648.2  ;592.02  ;183.7  ;3.2719
  ;  ;2  ;-1.2096e+05  ;-819.06  ;2,648.2  ;-473.2  ;-146.95  ;-3.2719
  ;149  ;1  ;1.2096e+05  ;819.2  ;-2,648.2  ;473.2  ;146.95  ;3.2714
  ;  ;2  ;-1.2096e+05  ;-819.56  ;2,648.2  ;-354.38  ;-110.19  ;-3.2714
  ;150  ;1  ;1.2096e+05  ;819.41  ;-2,648.2  ;354.38  ;110.19  ;3.2718
  ;  ;2  ;-1.2096e+05  ;-819.77  ;2,648.2  ;-235.56  ;-73.417  ;-3.2718
  ;151  ;1  ;1.2096e+05  ;819.91  ;-2,648.2  ;235.56  ;73.417  ;3.2715
  ;  ;2  ;-1.2096e+05  ;-820.26  ;2,648.2  ;-116.74  ;-36.621  ;-3.2715
  ;152  ;1  ;1.2096e+05  ;820.12  ;-2,648.2  ;116.74  ;36.621  ;3.2717
  ;  ;2  ;-1.2096e+05  ;-820.47  ;2,648.2  ;2.0792  ;0.18445  ;-3.2717
Beam-16(Circuler tube 1X0.06(16_GAUGE)(13)[7])  ;  ;  ;  ;  ;  ;  ;  ;
  ;153  ;1  ;0.0024309  ;0.83445  ;-1.4561e-06  ;2.8999e-08  ;0.02133  ;-1.1232e-06
  ;  ;2  ;-0.0024309  ;-0.48106  ;8.6846e-07  ;1.7659e-08  ;0.0050744  ;1.1232e-06
  ;154  ;1  ;0.0024309  ;0.48106  ;-3.8937e-07  ;-1.2596e-08  ;-0.0050744  ;-1.1251e-06
  ;  ;2  ;-0.0024309  ;-0.12768  ;1.543e-07  ;2.3509e-08  ;0.017293  ;1.1251e-06
  ;155  ;1  ;0.0024309  ;0.12768  ;-1.543e-07  ;-2.3509e-08  ;-0.017293  ;-1.1251e-06
  ;  ;2  ;-0.0024309  ;0.22571  ;-8.0759e-08  ;2.4985e-08  ;0.015325  ;1.1251e-06
  ;156  ;1  ;0.0024309  ;-0.22571  ;8.0759e-08  ;-2.4985e-08  ;-0.015325  ;-1.1251e-06
  ;  ;2  ;-0.0024309  ;0.57909  ;-3.1582e-07  ;1.7025e-08  ;-0.00082848  ;1.1251e-06
  ;157  ;1  ;0.0024309  ;-0.57909  ;8.9272e-07  ;-1.6198e-08  ;0.00082848  ;-1.1248e-06
  ;  ;2  ;-0.0024309  ;0.93248  ;-1.4804e-06  ;-3.1434e-08  ;-0.031168  ;1.1248e-06
Beam-17(Circuler tube 1X0.06(16_GAUGE)(13)[10])  ;  ;  ;  ;  ;  ;  ;  ;
  ;158  ;1  ;-10,657  ;32.183  ;164.15  ;-17.87  ;17.26  ;44.005
  ;  ;2  ;10,657  ;-32.183  ;-163.8  ;11.472  ;-16.004  ;-44.005
  ;159  ;1  ;-10,657  ;32.173  ;163.8  ;-11.472  ;16.004  ;44.005
  ;  ;2  ;10,657  ;-32.173  ;-163.46  ;5.0869  ;-14.749  ;-44.005
  ;160  ;1  ;-10,657  ;32.178  ;163.46  ;-5.0869  ;14.749  ;44.005
  ;  ;2  ;10,657  ;-32.178  ;-163.11  ;-1.2842  ;-13.493  ;-44.005
  ;161  ;1  ;-10,657  ;32.179  ;163.12  ;1.2842  ;13.493  ;44.005
  ;  ;2  ;10,657  ;-32.179  ;-162.77  ;-7.6421  ;-12.237  ;-44.005
  ;162  ;1  ;-10,657  ;32.172  ;162.77  ;7.6421  ;12.238  ;44.005
  ;  ;2  ;10,657  ;-32.172  ;-162.43  ;-13.987  ;-10.982  ;-44.005
  ;163  ;1  ;-10,657  ;32.183  ;162.43  ;13.986  ;10.982  ;44.005
  ;  ;2  ;10,657  ;-32.183  ;-162.09  ;-20.318  ;-9.7264  ;-44.005
  ;164  ;1  ;-10,657  ;32.174  ;162.08  ;20.318  ;9.7265  ;44.005
  ;  ;2  ;10,657  ;-32.174  ;-161.74  ;-26.635  ;-8.4711  ;-44.005
  ;165  ;1  ;-10,657  ;32.178  ;161.74  ;26.635  ;8.471  ;44.005
  ;  ;2  ;10,657  ;-32.178  ;-161.4  ;-32.94  ;-7.2155  ;-44.005
  ;166  ;1  ;-10,657  ;32.177  ;161.4  ;32.94  ;7.2156  ;44.005
  ;  ;2  ;10,657  ;-32.177  ;-161.05  ;-39.23  ;-5.9601  ;-44.005
  ;167  ;1  ;-10,657  ;32.174  ;161.06  ;39.23  ;5.96  ;44.005
  ;  ;2  ;10,657  ;-32.174  ;-160.71  ;-45.508  ;-4.7046  ;-44.005
Beam-18(Circuler tube 1X0.08(14_GAUGE)(3)[1])  ;  ;  ;  ;  ;  ;  ;  ;
  ;168  ;1  ;26,489  ;-49.646  ;-825.88  ;-169.3  ;-89.368  ;24.952
  ;  ;2  ;-26,489  ;49.646  ;826.34  ;202.52  ;87.372  ;-24.952
  ;169  ;1  ;26,489  ;-49.639  ;-826.38  ;-202.52  ;-87.373  ;24.952
  ;  ;2  ;-26,489  ;49.639  ;826.83  ;235.76  ;85.377  ;-24.952
  ;170  ;1  ;26,489  ;-49.65  ;-826.75  ;-235.76  ;-85.374  ;24.952
  ;  ;2  ;-26,489  ;49.65  ;827.21  ;269.02  ;83.378  ;-24.952
  ;171  ;1  ;26,489  ;-49.642  ;-827.29  ;-269.01  ;-83.38  ;24.952
  ;  ;2  ;-26,489  ;49.642  ;827.74  ;302.29  ;81.384  ;-24.952
  ;172  ;1  ;26,489  ;-49.645  ;-827.7  ;-302.29  ;-81.383  ;24.952
  ;  ;2  ;-26,489  ;49.645  ;828.16  ;335.58  ;79.387  ;-24.952
  ;173  ;1  ;26,489  ;-49.646  ;-828.12  ;-335.58  ;-79.386  ;24.952
  ;  ;2  ;-26,489  ;49.646  ;828.57  ;368.89  ;77.39  ;-24.952
  ;174  ;1  ;26,489  ;-49.646  ;-828.65  ;-368.89  ;-77.39  ;24.952
  ;  ;2  ;-26,489  ;49.646  ;829.11  ;402.22  ;75.394  ;-24.952
  ;175  ;1  ;26,489  ;-49.645  ;-829.07  ;-402.22  ;-75.394  ;24.952
  ;  ;2  ;-26,489  ;49.645  ;829.52  ;435.57  ;73.398  ;-24.952
  ;176  ;1  ;26,489  ;-49.642  ;-829.49  ;-435.57  ;-73.4  ;24.952
  ;  ;2  ;-26,489  ;49.642  ;829.94  ;468.93  ;71.404  ;-24.952
  ;177  ;1  ;26,489  ;-49.65  ;-830.02  ;-468.93  ;-71.399  ;24.952
  ;  ;2  ;-26,489  ;49.65  ;830.47  ;502.32  ;69.402  ;-24.952
  ;178  ;1  ;26,489  ;-49.639  ;-830.4  ;-502.31  ;-69.409  ;24.952
  ;  ;2  ;-26,489  ;49.639  ;830.85  ;535.71  ;67.413  ;-24.952
  ;179  ;1  ;26,489  ;-49.646  ;-830.89  ;-535.71  ;-67.409  ;24.952
  ;  ;2  ;-26,489  ;49.646  ;831.35  ;569.13  ;65.412  ;-24.952
Beam-19(Circuler tube 1X0.08(14_GAUGE)(1)[1])  ;  ;  ;  ;  ;  ;  ;  ;
  ;180  ;1  ;6,248.1  ;2,054.5  ;-1,254.4  ;132.35  ;222.25  ;178.29
  ;  ;2  ;-6,248.5  ;-2,054.6  ;1,254.4  ;-84.795  ;-144.37  ;-178.29
  ;181  ;1  ;6,248.5  ;2,054.6  ;-1,254.4  ;84.795  ;144.37  ;178.29
  ;  ;2  ;-6,249  ;-2,054.7  ;1,254.4  ;-37.24  ;-66.473  ;-178.29
  ;182  ;1  ;6,249  ;2,054.7  ;-1,254.4  ;37.24  ;66.473  ;178.29
  ;  ;2  ;-6,249.4  ;-2,054.8  ;1,254.4  ;10.315  ;11.422  ;-178.29
  ;183  ;1  ;6,249.4  ;2,054.8  ;-1,254.4  ;-10.316  ;-11.422  ;178.29
  ;  ;2  ;-6,249.8  ;-2,054.8  ;1,254.4  ;57.871  ;89.319  ;-178.29
Beam-20(Circuler tube 1X0.08(14_GAUGE)(1)[4])  ;  ;  ;  ;  ;  ;  ;  ;
  ;184  ;1  ;1,600.9  ;2,572.8  ;346.81  ;-112.61  ;319.16  ;-30.51
  ;  ;2  ;-1,600.9  ;-2,572.8  ;-346.33  ;97.76  ;-208.9  ;30.51
  ;185  ;1  ;1,600.9  ;2,572.8  ;346.33  ;-97.76  ;208.9  ;-30.51
  ;  ;2  ;-1,600.9  ;-2,572.8  ;-345.84  ;82.927  ;-98.634  ;30.51
  ;186  ;1  ;1,600.9  ;2,572.8  ;345.84  ;-82.927  ;98.634  ;-30.51
  ;  ;2  ;-1,600.9  ;-2,572.8  ;-345.36  ;68.116  ;11.626  ;30.51
  ;187  ;1  ;1,600.9  ;2,572.8  ;345.36  ;-68.116  ;-11.626  ;-30.51
  ;  ;2  ;-1,600.9  ;-2,572.8  ;-344.87  ;53.326  ;121.89  ;30.51
  ;188  ;1  ;1,600.9  ;2,572.8  ;344.87  ;-53.326  ;-121.89  ;-30.51
  ;  ;2  ;-1,600.9  ;-2,572.8  ;-344.39  ;38.556  ;232.15  ;30.51
  ;189  ;1  ;1,600.9  ;2,572.8  ;344.39  ;-38.556  ;-232.15  ;-30.51
  ;  ;2  ;-1,600.9  ;-2,572.8  ;-343.9  ;23.807  ;342.41  ;30.51
  ;190  ;1  ;1,600.9  ;2,572.8  ;343.9  ;-23.807  ;-342.41  ;-30.51
  ;  ;2  ;-1,600.9  ;-2,572.8  ;-343.41  ;9.0786  ;452.67  ;30.51
Beam-21(Circuler tube 1X0.06(16_GAUGE)(56)[8])  ;  ;  ;  ;  ;  ;  ;  ;
  ;191  ;1  ;-916.87  ;133.66  ;6,896.4  ;-1,900.7  ;51.525  ;-117.02
  ;  ;2  ;916.71  ;-133.98  ;-6,896.4  ;1,620.2  ;-46.083  ;117.02
  ;192  ;1  ;-916.72  ;134.04  ;6,896.4  ;-1,620.2  ;46.097  ;-117.01
  ;  ;2  ;916.56  ;-134.36  ;-6,896.4  ;1,339.7  ;-40.639  ;117.01
  ;193  ;1  ;-916.55  ;134.34  ;6,896.4  ;-1,339.7  ;40.634  ;-117.01
  ;  ;2  ;916.39  ;-134.66  ;-6,896.4  ;1,059.3  ;-35.165  ;117.01
  ;194  ;1  ;-916.39  ;134.66  ;6,896.4  ;-1,059.3  ;35.165  ;-117.01
  ;  ;2  ;916.23  ;-134.98  ;-6,896.4  ;778.79  ;-29.682  ;117.01
  ;195  ;1  ;-916.23  ;134.98  ;6,896.4  ;-778.79  ;29.682  ;-117.01
  ;  ;2  ;916.07  ;-135.3  ;-6,896.4  ;498.32  ;-24.186  ;117.01
  ;196  ;1  ;-916.07  ;135.29  ;6,896.4  ;-498.32  ;24.185  ;-117.01
  ;  ;2  ;915.9  ;-135.61  ;-6,896.4  ;217.85  ;-18.677  ;117.01
  ;197  ;1  ;-915.91  ;135.61  ;6,896.4  ;-217.85  ;18.677  ;-117.01
  ;  ;2  ;915.75  ;-135.93  ;-6,896.4  ;-62.613  ;-13.155  ;117.01
  ;198  ;1  ;-915.75  ;135.93  ;6,896.4  ;62.613  ;13.155  ;-117.01
  ;  ;2  ;915.59  ;-136.25  ;-6,896.4  ;-343.08  ;-7.6208  ;117.01
  ;199  ;1  ;-915.59  ;136.25  ;6,896.4  ;343.08  ;7.6205  ;-117.01
  ;  ;2  ;915.42  ;-136.57  ;-6,896.4  ;-623.55  ;-2.0727  ;117.01
  ;200  ;1  ;-915.42  ;136.58  ;6,896.4  ;623.55  ;2.0727  ;-117.01
  ;  ;2  ;915.26  ;-136.89  ;-6,896.4  ;-904.01  ;3.4881  ;117.01
  ;201  ;1  ;-915.26  ;136.89  ;6,896.4  ;904.01  ;-3.4881  ;-117.01
  ;  ;2  ;915.1  ;-137.21  ;-6,896.4  ;-1,184.5  ;9.0619  ;117.01
  ;202  ;1  ;-915.1  ;137.24  ;6,896.4  ;1,184.5  ;-9.0661  ;-117.01
  ;  ;2  ;914.94  ;-137.56  ;-6,896.4  ;-1,464.9  ;14.654  ;117.01
  ;203  ;1  ;-914.95  ;137.5  ;6,896.4  ;1,464.9  ;-14.641  ;-117.02
  ;  ;2  ;914.78  ;-137.82  ;-6,896.4  ;-1,745.4  ;20.239  ;117.02
Beam-22(Circuler tube 1X0.06(16_GAUGE)(2)[3])  ;  ;  ;  ;  ;  ;  ;  ;
  ;204  ;1  ;1,107.6  ;5,266.7  ;2,042.3  ;371.01  ;-748.83  ;24.702
  ;  ;2  ;-1,107.6  ;-5,266.6  ;-2,042.3  ;-406.61  ;840.63  ;-24.702
  ;205  ;1  ;176.24  ;5,378.9  ;2,042.3  ;404.72  ;-840.63  ;-46.28
  ;  ;2  ;-176.28  ;-5,378.8  ;-2,042.3  ;-440.32  ;934.39  ;46.28
  ;206  ;1  ;-760.41  ;5,327.7  ;2,042.3  ;425.59  ;-934.39  ;-122.04
  ;  ;2  ;760.35  ;-5,327.5  ;-2,042.3  ;-461.19  ;1,027.3  ;122.04
  ;207  ;1  ;-1,673.9  ;5,114.6  ;2,042.3  ;432.99  ;-1,027.3  ;-200.27
  ;  ;2  ;1,673.8  ;-5,114.4  ;-2,042.3  ;-468.59  ;1,116.4  ;200.27
  ;208  ;1  ;-2,536.5  ;4,746.1  ;2,042.3  ;426.7  ;-1,116.4  ;-278.6
  ;  ;2  ;2,536.4  ;-4,746  ;-2,042.3  ;-462.3  ;1,199.1  ;278.6
  ;209  ;1  ;-3,322  ;4,233.4  ;2,042.3  ;406.89  ;-1,199.1  ;-354.64
  ;  ;2  ;3,321.9  ;-4,233.3  ;-2,042.3  ;-442.49  ;1,272.9  ;354.64
  ;210  ;1  ;-4,006.5  ;3,592.2  ;2,042.3  ;374.19  ;-1,272.9  ;-426.09
  ;  ;2  ;4,006.4  ;-3,592.1  ;-2,042.3  ;-409.79  ;1,335.5  ;426.09
  ;211  ;1  ;-4,569.3  ;2,841.8  ;2,042.3  ;329.57  ;-1,335.5  ;-490.78
  ;  ;2  ;4,569.1  ;-2,841.8  ;-2,042.3  ;-365.17  ;1,385.1  ;490.78
  ;212  ;1  ;-4,993.2  ;2,005.2  ;2,042.3  ;274.4  ;-1,385.1  ;-546.73
  ;  ;2  ;4,993  ;-2,005.2  ;-2,042.3  ;-310  ;1,420  ;546.73
Beam-23(Circuler tube 1X0.08(14_GAUGE)(2)[4])  ;  ;  ;  ;  ;  ;  ;  ;
  ;213  ;1  ;-700.83  ;722.76  ;-2,009.7  ;36.031  ;24.464  ;-198.22
  ;  ;2  ;700.99  ;-722.81  ;2,009.8  ;-6.1587  ;-13.721  ;198.22
  ;214  ;1  ;-587.68  ;871.77  ;-1,986.9  ;38.326  ;16.021  ;-194.4
  ;  ;2  ;587.83  ;-871.85  ;1,986.9  ;-8.7935  ;-3.0623  ;194.4
  ;215  ;1  ;-458.45  ;996.44  ;-1,962.2  ;40.49  ;5.9719  ;-190.27
  ;  ;2  ;458.58  ;-996.54  ;1,962.2  ;-11.324  ;8.8397  ;190.27
  ;216  ;1  ;-316.71  ;1,093.5  ;-1,938.5  ;42.479  ;-5.4391  ;-185.95
  ;  ;2  ;316.82  ;-1,093.6  ;1,938.5  ;-13.666  ;21.694  ;185.95
  ;217  ;1  ;-166.26  ;1,160.6  ;-1,918.2  ;44.211  ;-17.942  ;-181.54
  ;  ;2  ;166.36  ;-1,160.7  ;1,918.2  ;-15.699  ;35.193  ;181.54
  ;218  ;1  ;-11.234  ;1,196.1  ;-1,903.6  ;45.562  ;-31.227  ;-177.18
  ;  ;2  ;11.301  ;-1,196.3  ;1,903.6  ;-17.267  ;49.007  ;177.18
  ;219  ;1  ;144.13  ;1,199.4  ;-1,896.2  ;46.376  ;-44.961  ;-172.97
  ;  ;2  ;-144.09  ;-1,199.6  ;1,896.2  ;-18.192  ;62.79  ;172.97
  ;220  ;1  ;295.63  ;1,170.6  ;-1,896.7  ;46.492  ;-58.79  ;-169.04
  ;  ;2  ;-295.61  ;-1,170.8  ;1,896.7  ;-18.299  ;76.191  ;169.04
  ;221  ;1  ;439.11  ;1,110.5  ;-1,905.2  ;45.75  ;-72.346  ;-165.49
  ;  ;2  ;-439.13  ;-1,110.6  ;1,905.2  ;-17.432  ;88.853  ;165.49
  ;222  ;1  ;570.68  ;1,020.6  ;-1,920.6  ;44.021  ;-85.25  ;-162.42
  ;  ;2  ;-570.72  ;-1,020.8  ;1,920.6  ;-15.474  ;100.42  ;162.42
  ;223  ;1  ;686.72  ;903.17  ;-1,941.4  ;41.22  ;-97.123  ;-159.92
  ;  ;2  ;-686.79  ;-903.33  ;1,941.4  ;-12.362  ;110.55  ;159.92
  ;224  ;1  ;784.1  ;761.1  ;-1,965.4  ;37.324  ;-107.6  ;-158.04
  ;  ;2  ;-784.2  ;-761.24  ;1,965.4  ;-8.1111  ;118.91  ;158.04
  ;225  ;1  ;860.14  ;597.96  ;-1,989.9  ;32.388  ;-116.33  ;-156.84
  ;  ;2  ;-860.26  ;-598.08  ;1,989.9  ;-2.8094  ;125.22  ;156.84
  ;226  ;1  ;912.74  ;417.96  ;-2,012.4  ;26.546  ;-123.02  ;-156.37
  ;  ;2  ;-912.87  ;-418.07  ;2,012.4  ;3.3666  ;129.23  ;156.37
  ;227  ;1  ;940.5  ;225.89  ;-2,030.4  ;20.014  ;-127.41  ;-156.61
  ;  ;2  ;-940.64  ;-225.97  ;2,030.4  ;10.165  ;130.77  ;156.61
  ;228  ;1  ;942.61  ;27.022  ;-2,041.9  ;13.073  ;-129.34  ;-157.58
  ;  ;2  ;-942.76  ;-27.077  ;2,041.9  ;17.276  ;129.74  ;157.58
Beam-24(Circuler tube 1X0.06(16_GAUGE)(56)[14])  ;  ;  ;  ;  ;  ;  ;  ;
  ;229  ;1  ;6.875  ;-0.2043  ;-0.13841  ;0.00035961  ;-0.00049151  ;0
  ;  ;2  ;-6.8845  ;0.15964  ;0.13893  ;0.00036005  ;-0.00045287  ;0
  ;230  ;1  ;-62,231  ;-74.619  ;-1,037.4  ;476.8  ;-51.686  ;100.66
  ;  ;2  ;62,231  ;74.27  ;1,037.4  ;-434.73  ;48.667  ;-100.66
  ;231  ;1  ;-62,231  ;-74.308  ;-1,037.3  ;434.73  ;-48.665  ;100.65
  ;  ;2  ;62,231  ;73.959  ;1,037.3  ;-392.66  ;45.658  ;-100.65
  ;232  ;1  ;-62,231  ;-73.965  ;-1,037.4  ;392.66  ;-45.661  ;100.65
  ;  ;2  ;62,231  ;73.616  ;1,037.4  ;-350.6  ;42.668  ;-100.65
  ;233  ;1  ;-62,231  ;-73.636  ;-1,037.4  ;350.6  ;-42.668  ;100.65
  ;  ;2  ;62,231  ;73.287  ;1,037.4  ;-308.53  ;39.69  ;-100.65
  ;234  ;1  ;-62,231  ;-73.237  ;-1,037.3  ;308.53  ;-39.688  ;100.65
  ;  ;2  ;62,231  ;72.888  ;1,037.3  ;-266.47  ;36.725  ;-100.65
  ;235  ;1  ;-62,231  ;-72.869  ;-1,037.3  ;266.47  ;-36.725  ;100.65
  ;  ;2  ;62,231  ;72.52  ;1,037.3  ;-224.4  ;33.777  ;-100.65
  ;236  ;1  ;-62,231  ;-72.587  ;-1,037.4  ;224.4  ;-33.778  ;100.65
  ;  ;2  ;62,230  ;72.238  ;1,037.4  ;-182.33  ;30.842  ;-100.65
  ;237  ;1  ;-62,230  ;-72.216  ;-1,037.3  ;182.33  ;-30.841  ;100.65
  ;  ;2  ;62,230  ;71.867  ;1,037.3  ;-140.27  ;27.92  ;-100.65
  ;238  ;1  ;-62,230  ;-71.889  ;-1,037.4  ;140.27  ;-27.92  ;100.65
  ;  ;2  ;62,230  ;71.54  ;1,037.4  ;-98.198  ;25.012  ;-100.65
  ;239  ;1  ;-62,230  ;-71.493  ;-1,037.4  ;98.198  ;-25.012  ;100.65
  ;  ;2  ;62,230  ;71.144  ;1,037.4  ;-56.132  ;22.12  ;-100.65
  ;240  ;1  ;-62,230  ;-71.126  ;-1,037.4  ;56.132  ;-22.12  ;100.65
  ;  ;2  ;62,230  ;70.777  ;1,037.4  ;-14.064  ;19.243  ;-100.65
  ;241  ;1  ;-62,230  ;-70.841  ;-1,037.4  ;14.064  ;-19.243  ;100.65
  ;  ;2  ;62,230  ;70.492  ;1,037.4  ;28.003  ;16.377  ;-100.65
  ;242  ;1  ;-62,230  ;-70.472  ;-1,037.4  ;-28.003  ;-16.377  ;100.65
  ;  ;2  ;62,230  ;70.123  ;1,037.4  ;70.071  ;13.526  ;-100.65
  ;243  ;1  ;-62,230  ;-70.098  ;-1,037.4  ;-70.071  ;-13.526  ;100.65
  ;  ;2  ;62,230  ;69.749  ;1,037.4  ;112.14  ;10.691  ;-100.65
  ;244  ;1  ;-62,230  ;-69.773  ;-1,037.4  ;-112.14  ;-10.691  ;100.65
  ;  ;2  ;62,230  ;69.424  ;1,037.4  ;154.21  ;7.8686  ;-100.65
  ;245  ;1  ;-62,230  ;-69.436  ;-1,037.4  ;-154.21  ;-7.8683  ;100.65
  ;  ;2  ;62,230  ;69.087  ;1,037.4  ;196.27  ;5.0597  ;-100.65
  ;246  ;1  ;-62,230  ;-69.052  ;-1,037.4  ;-196.27  ;-5.0597  ;100.65
  ;  ;2  ;62,230  ;68.703  ;1,037.4  ;238.34  ;2.2666  ;-100.65
  ;247  ;1  ;-62,230  ;-68.735  ;-1,037.4  ;-238.34  ;-2.2673  ;100.65
  ;  ;2  ;62,230  ;68.386  ;1,037.4  ;280.41  ;-0.51293  ;-100.65
  ;248  ;1  ;-62,230  ;-68.386  ;-1,037.4  ;-280.41  ;0.51293  ;100.65
  ;  ;2  ;62,230  ;68.037  ;1,037.4  ;322.48  ;-3.279  ;-100.65
  ;249  ;1  ;-62,230  ;-67.997  ;-1,037.4  ;-322.48  ;3.2804  ;100.65
  ;  ;2  ;62,229  ;67.648  ;1,037.4  ;364.55  ;-6.0307  ;-100.65
  ;250  ;1  ;-62,229  ;-67.642  ;-1,037.4  ;-364.55  ;6.0289  ;100.65
  ;  ;2  ;62,229  ;67.293  ;1,037.4  ;406.62  ;-8.7648  ;-100.65
  ;251  ;1  ;-62,229  ;-67.344  ;-1,037.4  ;-406.62  ;8.7671  ;100.65
  ;  ;2  ;62,229  ;66.995  ;1,037.4  ;448.69  ;-11.491  ;-100.65
  ;252  ;1  ;-62,229  ;-66.953  ;-1,037.4  ;-448.69  ;11.491  ;100.65
  ;  ;2  ;62,229  ;66.604  ;1,037.4  ;490.75  ;-14.199  ;-100.65
Beam-25(Circuler tube 1X0.06(16_GAUGE)(2)[7])  ;  ;  ;  ;  ;  ;  ;  ;
  ;253  ;1  ;0.65843  ;-0.10797  ;0  ;0  ;-0.0025873  ;0
  ;  ;2  ;-0.32926  ;0.053109  ;0  ;0  ;-0.00046586  ;0
  ;254  ;1  ;0.32926  ;-0.053109  ;0  ;0  ;0.00046586  ;0
  ;  ;2  ;-8.7669e-05  ;-0.0017531  ;0  ;0  ;-0.0014393  ;0
  ;255  ;1  ;8.7662e-05  ;0.0017531  ;0  ;0  ;0.0014393  ;0
  ;  ;2  ;0.32908  ;-0.056615  ;0  ;0  ;-0.00033294  ;0
  ;256  ;1  ;-0.32908  ;0.056615  ;0  ;0  ;0.00033294  ;0
  ;  ;2  ;0.65826  ;-0.11148  ;0  ;0  ;0.0028531  ;0
Beam-26(Circuler tube 1X0.06(16_GAUGE)(6)[3])  ;  ;  ;  ;  ;  ;  ;  ;
  ;257  ;1  ;1.6589e+05  ;3,713  ;6,736.9  ;-1,680.1  ;473.1  ;243.93
  ;  ;2  ;-1.6589e+05  ;-3,713.3  ;-6,736.9  ;1,417.7  ;-328.47  ;-243.93
