sep=;
11:56; Saturday; October 05; 2024
Study name:Front_Impact

Beam Name  ;Element  ;End  ;Axial (N)  ;Shear1 (N)  ;Shear2 (N)  ;Moment 1 (N.m)  ;Moment 2 (N.m)  ;Torque (N.m)
  ;  ;2  ;5,978.8  ;-1,597.6  ;-10.09  ;15.099  ;-105.4  ;2.1135
  ;30  ;1  ;-5,610.6  ;2,611.5  ;10.09  ;-14.503  ;105.4  ;-4.7034
  ;  ;2  ;5,610.5  ;-2,611.7  ;-10.09  ;14.327  ;-59.872  ;4.7034
  ;31  ;1  ;-5,071.7  ;3,546.3  ;10.09  ;-13.292  ;59.872  ;-7.1198
  ;  ;2  ;5,071.6  ;-3,546.4  ;-10.09  ;13.117  ;1.9447  ;7.1198
  ;32  ;1  ;-4,378.7  ;4,373.2  ;10.09  ;-11.681  ;-1.9447  ;-9.2893
  ;  ;2  ;4,378.6  ;-4,373.4  ;-10.09  ;11.505  ;78.176  ;9.2893
  ;33  ;1  ;-3,552.7  ;5,067.3  ;10.09  ;-9.7172  ;-78.176  ;-11.146
  ;  ;2  ;3,552.5  ;-5,067.4  ;-10.09  ;9.5413  ;166.51  ;11.146
  ;34  ;1  ;-3,037.3  ;5,391.9  ;10.09  ;-8.3999  ;-166.51  ;-12.03
  ;  ;2  ;3,037.3  ;-5,392  ;-10.09  ;8.3773  ;178.54  ;12.03
  ;35  ;1  ;1,649.9  ;811.72  ;-688.08  ;28.92  ;-151.47  ;-16.549
  ;  ;2  ;-1,650.1  ;-811.79  ;688.08  ;-18.457  ;163.81  ;16.549
  ;36  ;1  ;1,760.1  ;532.6  ;-688.08  ;20.902  ;-163.81  ;-13.326
  ;  ;2  ;-1,760.3  ;-532.65  ;688.08  ;-8.9083  ;173.1  ;13.326
  ;37  ;1  ;1,826.1  ;218.88  ;-688.08  ;11.087  ;-173.1  ;-11.577
  ;  ;2  ;-1,826.3  ;-218.89  ;688.08  ;0.90701  ;176.91  ;11.577
Beam-5(Circuler tube 1X0.06(16_GAUGE)(2)[4])  ;  ;  ;  ;  ;  ;  ;  ;
  ;38  ;1  ;-2.029e-06  ;1.3205  ;-2.0118e-05  ;1.0059e-06  ;0.066023  ;-9.3697e-08
  ;  ;2  ;2.5537e-06  ;-0.94319  ;1.437e-05  ;-2.6687e-07  ;-0.017516  ;9.3697e-08
  ;39  ;1  ;-5.1773e-06  ;0.94319  ;6.1584e-06  ;-1.1437e-07  ;0.017516  ;3.7479e-09
  ;  ;2  ;4.6526e-06  ;-0.56591  ;-3.695e-06  ;-9.6775e-08  ;0.014822  ;-3.7479e-09
  ;40  ;1  ;-3.8655e-06  ;0.56591  ;-3.6951e-06  ;-9.6775e-08  ;-0.014822  ;8.6202e-08
  ;  ;2  ;3.8655e-06  ;-0.18864  ;1.2317e-06  ;2.0235e-07  ;0.03099  ;-8.6202e-08
  ;41  ;1  ;-3.8655e-06  ;0.18864  ;-8.2112e-07  ;-1.349e-07  ;-0.03099  ;-3.9705e-23
  ;  ;2  ;3.8655e-06  ;0.18864  ;-8.2112e-07  ;1.349e-07  ;0.03099  ;3.9705e-23
  ;42  ;1  ;-3.8655e-06  ;-0.18864  ;1.2317e-06  ;-2.0235e-07  ;-0.03099  ;-8.6202e-08
  ;  ;2  ;3.8655e-06  ;0.56591  ;-3.6951e-06  ;9.6775e-08  ;0.014822  ;8.6202e-08
  ;43  ;1  ;-4.6526e-06  ;-0.56591  ;-3.695e-06  ;9.6775e-08  ;-0.014822  ;-3.7479e-09
  ;  ;2  ;5.1773e-06  ;0.94319  ;6.1584e-06  ;1.1437e-07  ;-0.017516  ;3.7479e-09
  ;44  ;1  ;-2.5537e-06  ;-0.94319  ;1.437e-05  ;2.6687e-07  ;0.017516  ;9.3697e-08
